tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Terraform,2,120.915,53.670,29.509,37.736,1.0,100.0,61.3,11.9,22.5,16.5,1492.52,2.25,17.943,0.027,197.02,5403.87,2
Terraform,2,119.728,53.386,29.306,37.036,1.0,100.0,62.5,12.3,23.1,16.9,1492.49,2.08,18.049,0.025,220.61,5607.24,2
Terraform,1,124.088,54.942,29.765,39.381,1.0,100.0,61.2,12.1,22.7,16.5,1492.50,2.40,17.620,0.028,248.66,5465.71,2
Terraform,1,120.188,52.092,29.555,38.541,1.0,100.0,61.2,12.0,21.4,16.5,1492.55,2.44,18.281,0.030,217.06,5466.49,2
Terraform,2,127.989,54.987,29.577,43.425,1.0,100.0,61.7,11.9,22.3,16.7,1492.45,2.15,17.649,0.025,218.36,5398.57,2
Terraform,2,126.964,54.354,29.595,43.015,0.0,100.0,62.4,12.2,23.1,16.9,1492.50,2.37,17.779,0.028,210.82,5400.25,2
Terraform,2,122.480,53.448,29.621,39.411,0.5,100.0,62.3,12.0,22.3,16.7,1492.50,2.39,17.967,0.029,183.16,5400.50,2
Terraform,2,121.829,53.154,29.413,39.262,0.5,100.0,61.5,11.9,23.4,16.7,1492.51,2.34,18.076,0.028,206.45,5399.47,2
Terraform,1,123.473,54.576,29.620,39.277,1.0,99.5,60.5,11.9,22.1,16.5,1492.48,2.25,17.726,0.027,207.71,5457.39,2
Terraform,1,122.297,53.304,29.485,39.508,1.0,100.0,61.1,11.9,22.1,16.8,1492.53,2.28,18.028,0.028,182.32,5402.71,2
Terraform,2,126.758,55.076,29.634,42.048,0.5,100.0,62.4,11.8,22.7,16.9,1474.38,2.43,17.405,0.029,219.13,5331.21,2
Terraform,2,122.534,53.379,29.453,39.702,1.0,100.0,62.3,12.2,23.0,16.9,1492.56,2.33,18.019,0.028,193.60,5403.85,2
Terraform,2,126.447,55.129,29.608,41.710,0.5,100.0,61.0,11.8,22.5,16.6,1492.53,2.42,17.614,0.029,232.27,5402.61,2
Terraform,2,125.318,54.319,29.534,41.465,1.0,100.0,62.8,11.9,22.9,16.5,1454.48,2.17,17.346,0.026,184.56,5335.50,2
Terraform,2,124.195,55.455,29.555,39.185,0.5,100.0,62.1,12.3,21.5,16.7,1492.47,2.39,17.556,0.028,180.35,5400.84,2
Terraform,2,120.073,53.618,29.490,36.965,1.0,100.0,61.9,11.7,22.2,16.8,1492.57,2.35,17.959,0.028,205.46,5408.88,2
Terraform,2,120.932,52.175,29.421,39.336,0.0,100.0,61.4,11.8,22.9,16.6,1492.46,2.21,18.291,0.027,220.34,5398.86,2
Terraform,2,126.524,55.064,29.872,41.588,0.5,100.0,61.8,11.9,22.6,17.0,1492.49,2.25,17.572,0.026,211.16,5405.13,2
