tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Ansible,2,289.497,134.622,118.784,36.091,0.5,99.5,24.2,11.6,24.5,15.9,1495.89,2.92,5.903,0.012,219.04,5563.92,13
Ansible,2,292.045,137.860,118.379,35.806,0.0,100.0,23.7,11.7,24.5,15.9,1529.71,2.93,5.970,0.011,212.28,5726.04,13
Ansible,2,293.899,134.794,117.991,41.114,0.0,100.0,24.1,11.5,23.9,15.9,1541.95,2.92,6.100,0.012,245.41,5707.83,13
Ansible,2,288.696,135.605,117.710,35.381,0.0,100.0,24.0,11.3,24.3,15.9,1495.88,2.95,5.905,0.012,203.70,5562.61,13
Ansible,2,287.128,135.845,115.817,35.466,0.0,100.0,24.2,11.5,24.8,15.8,1495.88,2.79,5.944,0.011,233.57,5569.99,13
Ansible,2,296.259,137.747,117.461,41.051,0.0,100.0,24.3,11.3,24.4,15.8,1495.86,2.95,5.861,0.012,219.15,5563.66,13
Ansible,2,285.799,133.294,116.581,35.924,0.0,100.0,24.4,11.6,22.7,15.8,1495.91,3.02,5.987,0.012,253.97,5566.31,13
Ansible,2,298.604,139.661,117.850,41.093,0.5,100.0,25.2,11.5,25.0,15.8,1495.90,3.54,5.809,0.014,214.38,5559.61,13
Ansible,2,288.961,131.438,116.366,41.157,0.0,100.0,22.9,11.6,23.9,15.7,1495.91,3.05,6.037,0.012,245.37,5567.66,13
Ansible,2,290.225,133.239,116.112,40.874,0.5,100.0,23.6,11.6,23.6,15.9,1495.94,3.12,5.999,0.013,247.02,5579.66,13
Ansible,1,295.802,137.810,117.384,40.608,0.5,100.0,24.1,11.7,23.1,15.9,1495.85,2.85,5.862,0.011,234.52,5700.16,13
Ansible,2,296.913,137.319,118.986,40.608,0.5,100.0,24.3,11.6,24.4,16.0,1495.85,2.78,5.836,0.011,240.89,5567.86,13
Ansible,2,286.101,132.345,115.662,38.094,0.5,100.0,23.8,11.5,23.9,15.9,1495.86,2.92,6.032,0.012,216.84,5714.63,13
Ansible,2,289.880,135.628,117.679,36.573,0.0,100.0,24.0,11.5,23.7,15.9,1496.28,3.31,5.907,0.013,237.00,5685.74,13
Ansible,1,341.260,162.868,139.879,38.513,0.0,100.0,20.9,11.4,23.1,15.6,1496.10,3.09,4.942,0.010,199.94,5573.51,13
Ansible,1,248.373,98.554,112.117,37.702,0.5,100.0,19.2,15.2,23.7,16.1,1174.46,1.39,5.575,0.007,81.78,3561.29,13
Ansible,2,296.738,140.706,119.204,36.828,0.5,100.0,24.2,11.6,24.4,15.9,1519.14,2.97,5.845,0.011,228.16,5580.81,13
Ansible,2,298.192,136.989,120.068,41.135,0.5,100.0,23.8,11.5,24.8,15.7,1495.89,2.81,5.819,0.011,222.22,5790.52,13
Ansible,2,340.189,161.998,140.793,37.398,0.0,100.0,20.5,11.2,24.1,15.7,1495.90,3.09,4.940,0.010,242.51,5581.31,13
Ansible,2,336.829,159.717,139.653,37.459,0.0,100.0,20.7,11.5,23.1,15.5,1496.55,3.37,4.999,0.011,224.80,5768.96,13
Ansible,2,340.222,160.276,141.223,38.723,0.0,100.0,21.1,11.2,24.6,15.5,1496.18,3.14,4.962,0.010,262.05,5594.27,13
Ansible,2,338.126,160.178,140.307,37.641,0.0,100.0,20.4,11.2,23.3,15.5,1495.87,2.88,4.978,0.010,217.12,5686.60,13
Ansible,2,341.667,165.493,138.411,37.763,0.5,100.0,21.1,11.7,24.1,15.9,1495.96,2.88,4.922,0.009,248.11,5581.95,13
Ansible,2,337.449,159.691,138.826,38.932,0.0,100.0,21.0,11.5,26.4,15.8,1495.85,2.79,5.011,0.009,232.72,5585.75,13
Ansible,2,338.216,161.214,137.651,39.351,0.0,100.0,21.3,11.6,23.4,15.7,1495.77,2.49,5.005,0.008,209.16,5576.50,13
Ansible,2,342.110,164.082,140.204,37.824,0.0,100.0,21.6,11.4,23.8,15.7,1495.87,2.61,4.916,0.009,203.27,5589.36,13
Ansible,2,342.767,163.897,139.728,39.142,0.0,100.0,20.9,11.5,24.7,15.9,1495.88,2.61,4.927,0.009,205.43,5581.31,13
Ansible,2,341.488,161.832,140.095,39.561,0.0,100.0,20.6,11.8,25.8,15.9,1495.88,2.80,4.954,0.009,213.16,5578.17,13
Ansible,2,342.962,164.745,139.913,38.304,0.0,100.0,21.0,11.5,24.1,15.7,1495.91,2.89,4.910,0.009,212.50,5618.59,13
Ansible,2,344.641,162.954,141.917,39.770,0.0,100.0,21.2,11.1,23.5,15.6,1495.86,2.73,4.907,0.009,236.86,5589.92,13
Ansible,2,285.358,133.019,112.408,39.931,0.5,100.0,24.1,11.6,25.5,16.3,1496.22,2.94,6.096,0.012,207.68,5548.45,13
Ansible,2,281.849,131.351,114.052,36.446,0.5,100.0,24.4,12.0,23.3,16.2,1542.27,2.95,6.285,0.012,235.72,5627.84,13
Ansible,2,306.727,143.671,125.719,37.337,0.5,100.0,22.4,11.9,24.9,16.1,1496.29,2.84,5.554,0.011,211.69,5572.32,13
Ansible,2,308.494,144.209,123.234,41.051,0.0,100.0,23.1,12.0,24.3,16.2,1514.14,2.78,5.662,0.010,275.52,5585.48,13
Ansible,2,312.216,147.333,124.630,40.253,0.5,100.0,23.1,11.7,26.4,16.2,1498.10,2.90,5.508,0.011,274.24,5725.02,13
Ansible,2,303.405,143.349,123.865,36.191,0.5,100.0,23.2,12.0,23.7,16.1,1542.29,2.85,5.772,0.011,237.68,5753.71,13
Ansible,2,304.941,144.938,124.877,35.126,0.5,100.0,22.8,11.9,24.0,16.3,1496.27,2.83,5.546,0.010,237.61,5697.39,13
