tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Pulumi,2,129.302,58.654,31.422,39.226,0.0,100.0,58.0,11.5,22.4,16.3,1492.53,2.06,16.570,0.023,221.42,5428.30,4
Pulumi,2,130.074,61.276,31.723,37.075,0.0,100.0,58.9,11.5,23.1,16.1,1492.57,2.23,16.049,0.024,249.70,5416.87,4
Pulumi,2,129.436,60.000,31.873,37.563,0.0,100.0,58.7,11.3,22.1,16.1,1538.65,2.28,16.748,0.025,230.14,5539.34,4
Pulumi,2,128.387,61.207,31.845,35.335,0.0,100.0,57.3,11.3,21.9,16.0,1502.19,2.22,16.144,0.024,225.67,5421.09,4
Pulumi,2,130.179,59.721,31.468,38.990,0.0,100.0,58.3,11.3,23.1,16.2,1492.56,2.19,16.368,0.024,237.98,5416.19,4
Pulumi,1,133.000,61.623,31.914,39.463,0.0,100.0,60.2,11.9,23.1,16.5,1492.51,2.17,15.956,0.023,205.48,5506.25,4
Pulumi,2,131.198,59.140,32.208,39.850,0.0,100.0,58.6,11.8,22.5,16.4,1492.59,2.15,16.340,0.024,236.00,5586.20,4
Pulumi,2,127.165,59.755,31.340,36.070,0.0,100.0,57.9,11.8,22.3,16.1,1492.55,2.33,16.385,0.026,193.21,5503.90,4
Pulumi,2,133.011,61.835,32.107,39.069,0.0,100.0,58.6,11.6,23.1,16.4,1538.60,2.26,16.378,0.024,233.30,5588.38,4
Pulumi,2,127.577,60.467,31.565,35.545,0.0,100.0,56.8,11.5,22.7,16.3,1492.55,2.29,16.218,0.025,256.88,5426.56,4
Pulumi,2,132.758,60.326,31.219,41.213,0.0,100.0,58.3,12.0,23.0,16.8,1492.51,2.16,16.304,0.024,236.04,5418.54,4
Pulumi,1,131.142,60.734,32.043,38.365,0.5,100.0,58.2,11.6,21.3,16.2,1538.50,1.90,16.583,0.020,238.59,5903.94,4
Pulumi,2,127.131,60.536,31.680,34.915,0.0,100.0,57.8,11.6,21.9,16.3,1506.15,2.40,16.333,0.026,227.72,5419.15,4
Pulumi,2,129.763,59.620,31.626,38.517,0.0,100.0,60.1,11.4,22.7,16.2,1492.59,2.26,16.358,0.025,208.31,5415.13,4
Pulumi,1,132.471,59.292,32.128,41.051,0.0,100.0,58.9,11.8,23.0,16.5,1493.00,2.17,16.331,0.024,240.45,5465.06,4
Pulumi,2,129.986,60.731,31.710,37.545,0.0,100.0,57.6,11.5,22.5,16.3,1493.15,2.07,16.152,0.022,219.18,5416.15,4
Pulumi,2,132.911,60.621,31.401,40.889,0.0,100.0,58.6,11.4,22.8,16.1,1492.51,1.99,16.219,0.022,221.52,5433.46,4
Pulumi,2,133.462,61.471,31.480,40.511,0.0,100.0,58.2,11.3,21.2,16.0,1492.46,2.08,16.056,0.022,208.30,5414.32,4
Pulumi,2,131.841,61.609,32.683,37.549,0.5,100.0,58.7,11.3,21.9,16.2,1526.59,2.25,16.190,0.024,245.75,5423.77,4
