tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Chef,1,125.009,59.795,29.575,35.639,0.0,100.0,56.9,11.8,25.8,18.3,1422.47,2.24,15.917,0.025,284.10,5337.70,16
Chef,2,134.137,63.061,29.586,41.490,0.0,100.0,56.6,11.7,25.1,18.0,1475.00,2.31,15.921,0.025,292.75,5354.15,16
Chef,2,125.461,58.325,29.718,37.418,0.0,100.0,59.7,11.9,25.0,18.3,1478.20,2.25,16.790,0.026,288.37,5334.31,16
Chef,2,127.555,60.161,29.679,37.715,0.5,100.0,59.3,11.9,23.5,18.3,1492.44,1.99,16.612,0.022,271.09,5530.68,16
Chef,2,132.350,60.789,29.676,41.885,0.5,100.0,58.8,12.0,23.7,18.3,1492.53,2.39,16.498,0.026,268.65,5344.29,16
Chef,2,132.810,60.791,29.739,42.280,0.5,100.0,58.7,11.8,25.4,18.6,1483.53,2.22,16.387,0.025,289.27,5337.88,16
Chef,2,129.614,59.851,29.694,40.069,0.5,100.0,59.1,11.8,25.8,18.7,1485.24,2.11,16.587,0.024,282.93,5333.02,16
Chef,2,136.308,61.796,29.823,44.689,0.5,100.0,59.1,11.7,25.0,18.3,1492.49,2.29,16.290,0.025,277.05,5406.08,16
Chef,1,129.956,60.074,29.832,40.050,0.5,100.0,59.4,11.8,24.2,18.4,1481.60,2.32,16.479,0.026,278.51,5521.74,16
Chef,2,139.339,63.805,29.911,45.623,0.5,100.0,59.6,11.8,24.4,18.5,1492.42,1.81,15.925,0.019,274.92,5395.35,16
Chef,2,124.579,56.657,29.614,38.308,0.5,100.0,59.4,11.8,25.7,18.5,1466.72,2.35,17.001,0.027,306.42,5337.98,16
Chef,2,141.578,65.260,29.761,46.557,0.5,100.0,59.6,11.9,25.8,18.5,1492.48,2.16,15.707,0.023,264.79,5387.51,16
Chef,2,131.596,59.972,29.541,42.083,0.0,100.0,59.3,12.1,24.7,18.5,1492.49,2.20,16.673,0.025,247.72,5402.29,16
Chef,2,127.335,57.125,29.959,40.251,0.0,100.0,58.6,11.7,24.9,18.5,1480.02,2.50,16.995,0.029,313.30,5337.98,16
Chef,1,131.931,58.774,29.636,43.521,0.0,100.0,60.0,12.0,24.9,18.5,1477.12,1.83,16.708,0.021,268.83,5332.80,16
Chef,2,139.002,64.426,29.700,44.876,0.0,100.0,58.5,11.7,23.6,18.0,1464.11,2.23,15.555,0.024,280.43,5357.41,16
Chef,2,130.840,60.675,30.057,40.108,0.5,100.0,58.2,11.9,23.8,18.4,1469.21,2.30,16.193,0.025,279.59,5339.83,16
Chef,2,128.027,60.095,29.328,38.604,0.5,100.0,59.4,11.8,25.5,18.2,1492.55,2.39,16.691,0.027,217.24,5405.14,16
Chef,2,129.717,59.893,29.500,40.324,0.5,100.0,58.7,11.8,25.1,18.4,1465.54,2.20,16.394,0.025,249.41,5333.70,16
Chef,1,130.531,59.602,29.637,41.292,0.5,100.0,59.8,11.8,23.7,18.1,1492.49,2.12,16.725,0.024,257.45,5411.51,16
Chef,2,128.491,57.940,30.227,40.324,0.5,100.0,58.8,11.9,24.6,18.6,1492.60,2.70,16.929,0.031,283.07,5404.50,16
Chef,2,131.203,61.278,29.576,40.349,0.0,100.0,58.7,12.1,25.1,18.5,1492.51,2.26,16.428,0.025,242.56,5406.46,16
Chef,2,130.865,60.916,29.698,40.251,0.5,100.0,59.2,11.9,23.5,18.4,1476.40,2.26,16.293,0.025,275.75,5335.47,16
Chef,2,138.335,63.443,29.829,45.063,0.5,100.0,59.9,11.7,24.4,18.5,1479.58,2.16,15.863,0.023,264.51,5330.29,16
Chef,2,129.178,58.830,30.097,40.251,0.0,100.0,58.6,11.8,24.2,18.3,1492.46,2.13,16.783,0.024,304.73,5350.02,16
Chef,2,126.040,59.553,29.662,36.825,0.0,100.0,58.0,11.8,25.2,18.5,1492.58,2.29,16.730,0.026,267.26,5419.71,16
Chef,2,130.027,60.330,29.446,40.251,0.5,100.0,58.9,11.6,25.0,18.2,1489.05,1.98,16.586,0.022,241.75,5342.61,16
Chef,2,131.208,58.255,29.325,43.628,0.0,100.0,58.8,11.9,24.6,18.3,1489.60,2.27,17.008,0.026,250.37,5335.69,16
Chef,1,142.703,68.381,30.007,44.315,0.0,100.0,54.3,11.7,25.3,18.0,1471.37,2.03,14.955,0.021,307.49,5352.70,16
Chef,1,136.942,67.762,29.707,39.473,0.0,100.0,54.2,11.6,25.4,17.9,1492.37,1.80,15.311,0.018,290.41,5423.34,16
Chef,1,131.106,64.208,29.776,37.122,0.0,100.0,55.5,11.9,23.2,17.9,1492.50,2.10,15.880,0.022,294.48,5429.72,16
Chef,2,128.063,57.959,29.958,40.146,0.0,100.0,58.5,12.2,25.4,18.8,1487.50,2.51,16.919,0.029,310.57,5332.28,16
Chef,2,135.191,63.273,29.440,42.478,0.0,100.0,59.2,11.8,23.9,18.1,1492.46,2.06,16.098,0.022,224.63,5398.01,16
Chef,2,125.889,60.174,29.779,35.936,0.5,100.0,59.5,11.7,25.7,18.4,1492.57,2.33,16.593,0.026,297.76,5404.71,16
Chef,2,138.632,63.332,29.864,45.436,0.5,100.0,59.2,11.8,24.8,18.4,1461.97,2.13,15.687,0.023,274.55,5332.99,16
Chef,2,125.365,55.782,29.210,40.373,0.0,100.0,58.5,11.9,23.8,18.4,1449.70,2.40,17.057,0.028,228.37,5338.64,16
Chef,2,129.374,59.246,29.944,40.184,0.0,100.0,59.6,12.0,26.2,18.9,1439.52,2.20,16.140,0.025,292.59,5329.78,16
Chef,2,131.056,56.872,29.682,44.502,0.5,100.0,59.2,11.7,23.9,18.3,1422.48,2.68,16.435,0.031,301.92,5331.29,16
Chef,2,141.217,65.195,29.652,46.370,0.5,100.0,59.3,12.0,24.7,18.4,1492.43,2.04,15.735,0.022,245.10,5381.03,16
Chef,1,125.011,57.256,29.447,38.308,0.0,100.0,59.3,12.0,25.0,18.7,1492.50,2.26,17.214,0.026,257.86,5401.88,16
Chef,2,130.556,56.986,29.618,43.952,1.0,100.0,59.2,11.8,25.4,18.3,1490.48,2.36,17.210,0.027,281.92,5664.37,16
Chef,2,139.241,63.696,29.735,45.810,0.5,100.0,59.8,11.8,24.3,18.3,1475.92,2.24,15.797,0.024,252.63,5336.68,16
Chef,1,131.380,61.303,29.825,40.252,0.5,100.0,59.3,12.0,23.6,18.5,1483.85,2.27,16.283,0.025,264.60,5355.20,16
