tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
OpenTofu,2,123.428,54.187,29.515,39.726,1.0,100.0,61.8,12.2,23.8,17.0,1492.46,2.21,17.831,0.026,218.18,5402.18,2
OpenTofu,2,120.087,52.525,29.351,38.211,0.0,100.0,61.6,11.8,21.8,16.7,1492.55,2.42,18.229,0.030,186.13,5662.65,2
OpenTofu,2,124.948,55.121,29.511,40.316,1.0,100.0,62.2,11.3,22.3,16.6,1492.51,2.39,17.635,0.028,217.92,5398.09,2
OpenTofu,1,124.006,54.628,29.673,39.705,1.0,100.0,61.9,11.7,22.6,16.6,1492.56,2.31,17.705,0.027,205.61,5404.59,2
OpenTofu,2,123.044,54.934,29.667,38.443,1.0,100.0,61.6,12.3,22.1,16.7,1492.51,2.38,17.642,0.028,208.79,5409.82,2
OpenTofu,2,123.226,53.611,29.357,40.258,1.0,100.0,61.6,12.0,23.3,17.0,1492.48,2.42,17.989,0.029,211.44,5408.07,2
OpenTofu,1,123.450,54.050,29.432,39.968,0.5,100.0,62.4,12.2,21.2,16.8,1492.53,2.50,17.878,0.030,221.38,5587.22,2
OpenTofu,2,125.359,56.294,29.541,39.524,0.5,100.0,61.2,11.8,22.3,16.4,1492.54,2.42,17.388,0.028,179.40,5402.52,2
OpenTofu,2,125.170,56.487,29.328,39.355,1.0,100.0,60.8,11.9,21.5,16.8,1495.13,2.09,17.423,0.024,172.04,5417.74,2
OpenTofu,2,123.418,53.759,29.459,40.200,1.5,100.0,62.0,12.2,22.2,16.8,1492.51,2.23,17.935,0.027,212.56,5398.86,2
OpenTofu,2,127.396,53.976,29.416,44.004,1.5,100.0,63.0,12.3,22.0,16.9,1492.51,2.51,17.898,0.030,205.06,5402.92,2
OpenTofu,2,128.026,54.742,29.497,43.787,1.5,100.0,62.9,12.1,21.9,16.9,1495.10,2.19,17.748,0.026,201.15,5422.00,2
OpenTofu,2,117.816,49.006,29.421,39.389,1.0,100.0,63.1,12.1,22.7,16.8,1492.65,2.82,19.032,0.036,202.84,5397.58,2
OpenTofu,2,127.117,54.618,29.467,43.032,1.0,100.0,63.1,12.2,22.0,17.1,1492.50,2.19,17.750,0.026,204.61,5410.62,2
OpenTofu,2,126.444,53.082,29.327,44.035,1.0,100.0,63.0,12.0,21.9,16.8,1492.51,2.30,18.111,0.028,207.08,5398.90,2
OpenTofu,2,122.235,52.293,29.281,40.661,1.5,100.0,63.3,11.9,22.0,16.9,1492.52,2.11,18.297,0.026,196.07,5400.38,2
OpenTofu,2,125.203,52.856,29.572,42.775,1.5,100.0,63.4,11.9,22.4,16.5,1492.44,2.01,18.106,0.024,244.06,5629.13,2
OpenTofu,1,127.338,53.749,29.523,44.066,3.0,100.0,63.4,12.3,23.6,16.8,1492.54,2.27,17.924,0.027,177.64,5861.05,2
OpenTofu,2,120.575,52.332,29.280,38.963,1.0,100.0,62.8,12.1,21.6,16.7,1495.14,2.31,18.320,0.028,187.99,5413.13,2
OpenTofu,2,120.850,49.140,29.193,42.517,1.0,100.0,61.8,12.0,22.8,16.8,1492.55,2.27,19.054,0.029,183.25,5392.65,2
OpenTofu,2,121.832,51.009,29.226,41.597,1.0,100.0,62.8,12.2,21.8,16.9,1492.57,2.43,18.602,0.030,193.35,5395.90,2
OpenTofu,2,128.071,54.673,29.487,43.911,1.5,99.5,62.9,12.0,22.5,16.7,1492.49,2.41,17.734,0.029,208.80,5395.88,2
OpenTofu,2,128.140,55.166,29.427,43.547,1.0,100.0,62.2,11.8,21.1,16.7,1492.53,2.40,17.644,0.028,208.41,5402.27,2
OpenTofu,1,120.249,52.176,29.184,38.889,1.0,100.0,62.7,12.1,22.3,16.7,1492.50,2.17,18.344,0.027,223.16,5401.55,2
OpenTofu,2,120.771,52.332,29.402,39.037,1.5,100.0,64.2,12.1,23.3,16.9,1492.56,2.47,18.261,0.030,207.32,5410.35,2
OpenTofu,2,120.266,52.177,29.349,38.740,2.0,100.0,63.3,11.9,23.4,16.9,1492.46,2.16,18.307,0.026,206.32,5610.43,2
OpenTofu,2,128.674,55.011,29.566,44.097,0.5,100.0,62.1,12.0,21.8,16.6,1492.45,2.39,17.646,0.028,203.11,5574.54,2
OpenTofu,2,121.597,51.643,29.426,40.528,1.0,100.0,62.3,11.8,22.4,16.6,1492.59,2.68,18.411,0.033,205.36,5400.25,2
OpenTofu,2,119.070,50.383,29.366,39.321,1.0,100.0,62.6,12.3,22.3,17.0,1492.57,2.32,18.716,0.029,180.42,5397.80,2
OpenTofu,2,124.370,52.553,29.429,42.388,1.0,100.0,62.2,11.4,23.1,16.8,1492.41,2.08,18.204,0.025,236.49,5403.17,2
OpenTofu,2,163.150,94.440,29.423,39.287,0.0,100.0,41.7,12.2,22.2,15.4,1492.56,2.58,12.050,0.021,252.87,5411.00,2
OpenTofu,2,121.631,52.840,29.537,39.254,0.5,100.0,63.1,11.8,22.0,16.9,1495.15,2.32,18.150,0.028,233.22,5412.05,2
OpenTofu,2,119.637,51.430,29.393,38.814,1.5,100.0,62.3,12.0,23.0,16.9,1492.46,2.15,18.466,0.027,221.70,5402.55,2
OpenTofu,2,125.283,52.551,29.443,43.289,0.5,100.0,62.3,12.0,22.3,16.9,1492.55,2.50,18.203,0.030,229.19,5399.16,2
OpenTofu,1,127.449,54.039,29.437,43.973,1.0,100.0,61.6,12.1,22.2,16.7,1495.07,2.05,17.910,0.025,193.13,5418.61,2
OpenTofu,1,121.253,52.294,29.243,39.716,1.0,100.0,62.2,11.7,23.1,16.8,1492.54,2.58,18.305,0.032,192.45,5398.83,2
OpenTofu,2,125.167,52.392,29.614,43.161,1.0,100.0,62.1,12.1,21.7,16.5,1476.78,2.30,18.008,0.028,196.95,5334.99,2
OpenTofu,1,119.308,50.421,29.397,39.490,2.0,100.0,63.5,12.1,24.0,17.0,1492.59,2.91,18.700,0.036,240.81,5690.64,2
OpenTofu,2,124.367,53.862,29.309,41.196,1.0,100.0,62.3,12.1,22.6,16.8,1492.57,2.51,17.946,0.030,198.34,5402.06,2
OpenTofu,2,125.649,54.036,29.353,42.260,0.5,100.0,63.9,11.9,21.6,16.9,1492.50,2.23,17.898,0.027,234.85,5403.77,2
OpenTofu,2,121.518,52.526,29.317,39.675,0.5,100.0,62.7,12.3,22.0,16.9,1492.56,2.47,18.237,0.030,209.96,5399.81,2
OpenTofu,2,125.302,52.026,29.458,43.818,1.0,99.5,63.1,12.2,22.4,17.1,1492.49,2.22,18.316,0.027,210.57,5478.71,2
OpenTofu,2,123.424,52.499,29.195,41.730,1.0,100.0,62.1,12.2,22.8,16.5,1492.45,2.21,18.269,0.027,180.27,5398.16,2
OpenTofu,2,120.239,51.640,29.487,39.112,1.0,100.0,63.5,12.3,20.7,16.6,1495.13,2.44,18.429,0.030,195.41,5425.08,2
OpenTofu,1,120.038,49.331,29.378,41.329,2.5,100.0,63.3,12.1,22.8,16.7,1492.53,2.54,18.963,0.032,223.95,5865.98,2
OpenTofu,2,121.843,52.912,29.509,39.422,1.0,100.0,63.3,12.1,21.8,16.8,1492.51,2.24,18.108,0.027,198.61,5400.16,2
OpenTofu,2,118.435,49.821,29.394,39.220,1.0,100.0,63.2,11.9,23.7,16.8,1492.54,2.49,18.842,0.031,232.79,5401.68,2
OpenTofu,2,123.848,51.744,29.458,42.646,1.0,100.0,62.4,11.9,21.8,16.6,1492.51,2.63,18.380,0.032,191.31,5400.13,2
OpenTofu,2,127.337,54.448,29.471,43.418,1.0,100.0,62.0,11.7,22.4,16.6,1492.52,2.29,17.785,0.027,211.52,5423.37,2
OpenTofu,2,120.655,51.937,29.532,39.186,1.5,100.0,63.6,12.0,22.8,16.8,1492.39,1.96,18.319,0.024,247.11,5410.66,2
OpenTofu,2,126.992,53.736,29.580,43.676,2.5,100.0,63.3,12.1,22.2,16.9,1492.47,2.09,17.913,0.025,223.75,5586.51,2
OpenTofu,2,126.363,55.198,29.702,41.463,1.0,100.0,62.6,11.9,21.9,16.6,1492.49,2.41,17.579,0.028,207.88,5399.71,2
OpenTofu,2,118.057,52.077,27.850,38.130,1.0,100.0,61.9,12.4,23.2,17.2,1492.99,2.70,18.679,0.034,209.41,5409.28,2
OpenTofu,2,122.331,53.358,29.237,39.736,1.0,100.0,62.5,12.3,22.9,17.0,1492.93,2.13,18.075,0.026,210.58,5403.86,2
OpenTofu,1,118.637,50.667,28.362,39.608,0.5,100.0,62.5,12.7,22.9,17.4,1492.98,2.56,18.892,0.032,232.93,5405.84,2
OpenTofu,1,119.526,52.526,28.743,38.257,1.0,100.0,61.9,12.5,21.6,17.0,1492.91,2.46,18.370,0.030,200.35,5521.39,2
OpenTofu,2,120.715,51.653,28.601,40.461,1.0,100.0,60.6,12.6,22.4,17.0,1493.02,3.19,18.604,0.040,201.45,5403.83,2
OpenTofu,2,127.685,54.544,29.013,44.128,1.0,100.0,62.3,12.5,23.2,17.0,1492.82,2.14,17.866,0.026,221.83,5406.76,2
OpenTofu,2,123.141,54.558,29.397,39.186,1.0,100.0,62.0,12.0,22.9,17.2,1492.91,2.28,17.782,0.027,219.97,5411.11,2
OpenTofu,1,125.349,53.781,29.437,42.131,2.0,100.0,62.3,12.4,22.9,17.1,1492.90,2.27,17.940,0.027,247.76,5803.82,2
OpenTofu,1,127.452,54.063,29.649,43.740,1.0,100.0,61.8,12.5,22.4,17.0,1492.96,2.45,17.834,0.029,216.95,5733.24,2
